Subject,Start Date,Start Time,End Date,End Time,Location,Description
French Short Film Panorama,16/11/2014,17:00,16/11/2014,18:30,Leeds Town Hall - Albert Room,"French filmmakers have treated LIFF with charming short films for years and this year's edition makes no exception. We've handpicked a marvelous selection that will make you smile and evoke the exquisite excitement of falling in love. The young hero of The Dive aims to impress as he climbs up the diving platform. Will he [...]

http://www.leedsfilm.com/films/french-short-film-panorama-3/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
From Bedrooms to Billions,18/11/2014,18:00,18/11/2014,20:00,Hyde Park Picture House,"Developments in computer technology in the UK of the late 70's and early 80's helped inspire a generation of small team enthusiasts, hobbyists, school kids, bedroom coders and entrepreneurs to make and release some truly classic video games. From Bedrooms to Billions reveals some of the remarkable stories, struggles and successes that saw the UK [...]

http://www.leedsfilm.com/films/bedrooms-billions/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Ghost in the Shell,09/11/2014,18:45,09/11/2014,20:10,Leeds Town Hall - Victoria Hall,"A special presentation of Mamoru Oshii's classic cyberpunk anime Ghost in the Shell, screening in a new digital cinema print on the giant screen at Leeds Town Hall as part of this year's Fanomenon Anime Day. It's the year 2029 and Major Motoko Kusanagi is a cyborg officer in the Section 9 security force. She's [...]

http://www.leedsfilm.com/films/ghost-shell/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Giovanni's Island,09/11/2014,16:15,09/11/2014,17:57,Leeds Town Hall - Victoria Hall,"Directed by Mizuho Nishikubo, a longtime collaborator of Mamoru Oshii , Giovanni's Island - like the anime classic Grave of the Fireflies - examines the struggles of the Japanese in the immediate aftermath of their defeat in World War II, from the perspective of a child. A testament to the emotional resilience of children, and [...]

http://www.leedsfilm.com/films/giovannis-island/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Giovanni's Island,12/11/2014,16:00,12/11/2014,17:42,Vue in the Light,"Directed by Mizuho Nishikubo, a longtime collaborator of Mamoru Oshii , Giovanni's Island - like the anime classic Grave of the Fireflies - examines the struggles of the Japanese in the immediate aftermath of their defeat in World War II, from the perspective of a child. A testament to the emotional resilience of children, and [...]

http://www.leedsfilm.com/films/giovannis-island/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Good Vibrations,07/11/2014,10:00,07/11/2014,11:43,Hyde Park Picture House,"Good Vibrations was a legendary record shop on the most bombed half-mile in Europe, home of the Alternative Ulster movement during the worst years of the troubles. The film tells the inspiring story of the unflappable Terri Hooley, the man responsible for discovering The Undertones and recording Teenage Kicks. He orchestrated a compelling voice of [...]

http://www.leedsfilm.com/films/good-vibrations/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Goodbye to Language 3D,06/11/2014,18:00,06/11/2014,19:10,Vue in the Light,"The latest filmmaker to push the boundaries of the new 3D cinema is the veteran iconoclast, Jean-Luc Godard, still provocative and prolific at 83 years of age. With his usual cocktail of confrontational agitprop, restless audiovisual invention and irreverent humour, Godard uses the 3D format to reinvigorate his fragmented narrative style, a pranksterish collage of [...]

http://www.leedsfilm.com/films/goodbye-language-3d/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Grave of the Fireflies,09/11/2014,20:45,09/11/2014,22:14,Leeds Town Hall - Victoria Hall,"Screening on a new digital print, Isao Takahata's early Studio Ghibli masterpiece is a visually stunning and emotionally powerful film that meditates on the devastating consequences of war. A young brother and sister are forced to fight for survival in the devastated Japanese countryside during World War II after their mother is killed in an [...]

http://www.leedsfilm.com/films/grave-fireflies-2/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Grave of the Fireflies,14/11/2014,13:30,14/11/2014,14:59,Leeds Town Hall - Victoria Hall,"Screening on a new digital print, Isao Takahata's early Studio Ghibli masterpiece is a visually stunning and emotionally powerful film that meditates on the devastating consequences of war. A young brother and sister are forced to fight for survival in the devastated Japanese countryside during World War II after their mother is killed in an [...]

http://www.leedsfilm.com/films/grave-fireflies-2/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Groundhog Day,08/11/2014,18:00,08/11/2014,19:41,City Varieties,"One of the finest feature comedies ever made, the sadly missed Harold Ramis infuses his decidedly modern examination of free will with the spirit of classic screwball comedies. Bill Murray is perfect as the cynical weatherman who, in living the same day again and again, must learn to change his ways. One of the finest [...]

http://www.leedsfilm.com/films/groundhog-day/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Head,19/11/2014,18:30,19/11/2014,19:56,Belgrave Music Hall,"Bob Rafelson's legendary 1968 Monkees film has superlative cult credentials. A spectacular flop on its release, made a little too late to capitalise on Monkees mania and a lot more edgy and psychedelic than the kid-friendly hit tv series, the film has gained a steady following ever since, proving against the odds to stand the [...]

http://www.leedsfilm.com/films/head/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Heaven Adores You,18/11/2014,20:45,18/11/2014,22:29,Hyde Park Picture House,"An intimate and meditative look at the life and music of Elliott Smith, who died tragically in 2003. An American singer-songwriter, Smith is best known for the Academy Award nominated song €œMiss Misery,€� from Gus Van Sant's film 'Good Will Hunting'. This definitive documentary about the late singer features previously<br /> unreleased songs, pictures, and rare footage [...]

http://www.leedsfilm.com/films/heaven-adores/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Heaven Adores You,19/11/2014,18:00,19/11/2014,19:44,Hyde Park Picture House,"An intimate and meditative look at the life and music of Elliott Smith, who died tragically in 2003. An American singer-songwriter, Smith is best known for the Academy Award nominated song €œMiss Misery,€� from Gus Van Sant's film 'Good Will Hunting'. This definitive documentary about the late singer features previously<br /> unreleased songs, pictures, and rare footage [...]

http://www.leedsfilm.com/films/heaven-adores/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Horse Money,17/11/2014,18:00,17/11/2014,19:43,Vue in the Light,"A hauntingly beautiful and dreamlike film from the great Portuguese director Pedro Costa set in a strange, crumbling infirmary, Horse Money is an indictment of social injustice in postcolonial Europe. The film centres on the 70 year old Ventura, a Cape Verdean immigrant, worn out from a lifetime of backbreaking manual labour and civil unrest [...]

http://www.leedsfilm.com/films/horse-money/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Horse Money,19/11/2014,13:30,19/11/2014,15:13,Vue in the Light,"A hauntingly beautiful and dreamlike film from the great Portuguese director Pedro Costa set in a strange, crumbling infirmary, Horse Money is an indictment of social injustice in postcolonial Europe. The film centres on the 70 year old Ventura, a Cape Verdean immigrant, worn out from a lifetime of backbreaking manual labour and civil unrest [...]

http://www.leedsfilm.com/films/horse-money/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Housebound,14/11/2014,22:30,15/11/2014,00:19,Hyde Park Picture House,"One of two fantastic horror comedies to come out of New Zealand this year (see also What We Do in the Shadows) Gerard Johnstone has taken elements of The People Under the Stairs, Disturbia and Poltergeist and created a wickedly entertaining film.<br /> Put under house arrest by the courts, Kylie has to return home under the [...]

http://www.leedsfilm.com/films/housebound/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Housebound,15/11/2014,21:00,15/11/2014,22:49,Vue in the Light,"One of two fantastic horror comedies to come out of New Zealand this year (see also What We Do in the Shadows) Gerard Johnstone has taken elements of The People Under the Stairs, Disturbia and Poltergeist and created a wickedly entertaining film.<br /> Put under house arrest by the courts, Kylie has to return home under the [...]

http://www.leedsfilm.com/films/housebound/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
How I Filmed the War,17/11/2014,17:30,17/11/2014,18:44,Leeds Town Hall - Albert Room,"One of the most successful propaganda films ever made, The Battle of the Somme, is explored in this fascinating experimental documentary. Released in 1916, Somme is a filmed account of the bloody and tragic WWI battle of the title, shot and edited by Geoffrey H. Malins. Brilliantly utilising the techniques of early cinema and set [...]

http://www.leedsfilm.com/films/filmed-war/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
I am the Gorgon: Bunny Striker Lee and the Roots of Reggae,17/11/2014,21:00,17/11/2014,22:26,Belgrave Music Hall,"I am the Gorgon traces the rise of Jamaican music from the ghettos of Kingston to the furthest reaches of the globe and one of its great champions, legendary producer Bunny 'Striker' Lee. From humble beginnings in a large family from the poorest suburbs of Kingston, Bunny Lee went from car mechanic and record plugger [...]

http://www.leedsfilm.com/films/gorgon-bunny-striker-lee-roots-reggae/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Irish Short Film Panorama,14/11/2014,19:00,14/11/2014,20:30,Leeds Town Hall - Albert Room,"Every year Short Film City focuses its attention on the outstanding short filmmaking talent of a particular country. This year we were delighted to angle our lens towards Ireland. We've handpicked a jam packed programme of the best live action and animation from the emerald Isle. The line-up includes a number of award winning films [...]

http://www.leedsfilm.com/films/irish-short-film-panorama/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Is the Man Who is Tall Happy?,09/11/2014,21:00,09/11/2014,22:28,Hyde Park Picture House,"unexpected meeting of two very different minds, French filmmaker Michel Gondry (Eternal Sunshine of the Spotless Mind) meets one of the great thinkers of our age, Noam Chomsky. Illustrating the conversation with stream of consciousness style animation, Gondry enlivens Chomsky's ideas and reveals far more about the man behind those extraordinary insights than most conventional [...]

http://www.leedsfilm.com/films/man-tall-happy/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Is the Man Who is Tall Happy?,12/11/2014,17:00,12/11/2014,18:28,Hyde Park Picture House,"unexpected meeting of two very different minds, French filmmaker Michel Gondry (Eternal Sunshine of the Spotless Mind) meets one of the great thinkers of our age, Noam Chomsky. Illustrating the conversation with stream of consciousness style animation, Gondry enlivens Chomsky's ideas and reveals far more about the man behind those extraordinary insights than most conventional [...]

http://www.leedsfilm.com/films/man-tall-happy/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Jour de Fete,08/11/2014,10:00,08/11/2014,11:10,Leeds Town Hall - Victoria Hall,"Screening as part of Leeds Free Cinema Week…Jacques Tati's inspired debut feature is a dizzying orchestrationof slapstick satire set in a small French village in the late 40s.<br /> Tati himself plays an inept postman inspired by a newsreel describing the technological efficiencies of the US postal system. As part of the busy preparations for the village [...]

http://www.leedsfilm.com/films/jour-de-fete/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Journey to the West,08/11/2014,13:00,08/11/2014,13:56,Vue in the Light,"Screening along with Stray Dogs, Journey to the West is another great new film from Taiwanese master Tsai Ming Liang based on the ancient Buddhist ritual journeys. Xuanzang, the 7th century monk celebrated for his rigour and his 17 year quest for vacuity on the roads of Asia, wanders through the streets of Marseille. The [...]

http://www.leedsfilm.com/films/journey-west/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
J'accuse with live organ accompaniment,12/11/2014,19:30,12/11/2014,22:16,Leeds Town Hall - Victoria Hall,"Abel Gance's powerful anti-war drama J'accuse gets a rare screening at this year's LIFF with live organ accompaniment. Set in France against the backdrop of WWI, the film tells the story of two very different men whose lives become entwined through the machinations of fate, war and their love of the same woman. Radical, thought [...]

http://www.leedsfilm.com/films/jaccuse-live-organ-accompaniment/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Kebab and Horoscope + Frozen Stories,14/11/2014,20:30,14/11/2014,22:11,Vue in the Light,"A masterclass of measured filmmaking and deadpan humour, Polish filmmaker Grzegorz Jaroszuk's debut follows in the footsteps of the likes of Aki Kaurismaki and Roy Andersson. Two misfits re-imagine themselves as marketing executives and run to the aid of an ailing carpeting store - itself filled with strange employees. Some excellent performances and confident yet low-key direction result in a film [...]

http://www.leedsfilm.com/films/kebab-horoscope-frozen-stories/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Kebab and Horoscope + Frozen Stories,15/11/2014,13:00,15/11/2014,14:41,Vue in the Light,"A masterclass of measured filmmaking and deadpan humour, Polish filmmaker Grzegorz Jaroszuk's debut follows in the footsteps of the likes of Aki Kaurismaki and Roy Andersson. Two misfits re-imagine themselves as marketing executives and run to the aid of an ailing carpeting store - itself filled with strange employees. Some excellent performances and confident yet low-key direction result in a film [...]

http://www.leedsfilm.com/films/kebab-horoscope-frozen-stories/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
La Grande Illusion,07/11/2014,14:30,07/11/2014,16:24,Leeds Town Hall - Victoria Hall,"Jean Renoir's poetic masterpiece has a strong claim as the greatest First World War film ever made. Crafting a poignant drama of class divisions and of the random suffering and cameraderie of war, Renoir assembles an unforgettable cast of characters, all memorably portrayed by great performers. Aristocratic Captain de Boeldieu (Pierre Fresnay), mechanic Lieutenant Marechal [...]

http://www.leedsfilm.com/films/la-grande-illusion/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
La Grande Illusion,11/11/2014,15:30,11/11/2014,17:24,Leeds Town Hall - Victoria Hall,"Jean Renoir's poetic masterpiece has a strong claim as the greatest First World War film ever made. Crafting a poignant drama of class divisions and of the random suffering and cameraderie of war, Renoir assembles an unforgettable cast of characters, all memorably portrayed by great performers. Aristocratic Captain de Boeldieu (Pierre Fresnay), mechanic Lieutenant Marechal [...]

http://www.leedsfilm.com/films/la-grande-illusion/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Last Laugh with live piano accompaniment,09/11/2014,15:00,09/11/2014,16:17,Hyde Park Picture House,"F.W. Murnau's landmark film, made in Germany before his star turn in Hollywood with Sunrise and Tabu, is an example of purely visual storytelling and pioneer of a panoply of influential technical innovations. His film depicts the tale of an elderlyhotel doorman (brilliantly played by Emil Jannings, also star of  The Blue Angel) who is [...]

http://www.leedsfilm.com/films/laugh-live-piano-accompaniment/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Le Quattro Volte,12/11/2014,15:00,12/11/2014,16:28,Everyman Leeds Trinity,"One of the most original and beautiful arthouse films of recent years, Le Quattro Volte tells a universal tale of the revolving cycles of life high in the hills of Calabria, Southern Italy. Using barely a whisper of dialogue and minimal camera moves, the film progresses through four perspectives. We see an old shepherd live [...]

http://www.leedsfilm.com/films/le-quattro-volte/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Le Quattro Volte,17/11/2014,15:00,17/11/2014,16:28,Everyman Leeds Trinity,"One of the most original and beautiful arthouse films of recent years, Le Quattro Volte tells a universal tale of the revolving cycles of life high in the hills of Calabria, Southern Italy. Using barely a whisper of dialogue and minimal camera moves, the film progresses through four perspectives. We see an old shepherd live [...]

http://www.leedsfilm.com/films/le-quattro-volte/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Led Zeppelin Played Here + Heavy Metal Parking Lot,19/11/2014,20:30,19/11/2014,22:17,Belgrave Music Hall,"In 1969, Led Zeppelin played to 50 students in a school gymnasium, and there wasn't a camera in sight to prove it. Or did they? Led Zeppelin Played Here is a documentary about an urban legend that keeps you guessing about the truth of the matter throughout. Presented in partnership with MusicFilmWeb, it's the new [...]

http://www.leedsfilm.com/films/led-zeppelin-played-heavy-metal-parking-lot/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Leeds Film City: Invisible Cinema Walk,08/11/2014,12:00,08/11/2014,13:30,Leeds,"Invisible Cinema is Ben Waddington's exploration of the secret picture houses of the UK's city centres. The number of cinemas rose and fell with the 20th Century; most cities at one time boasted hundreds of screens. With the rise of the multiplex, their structure was absorbed back into the fabric of the city – that [...]

http://www.leedsfilm.com/films/leeds-film-city-invisible-cinema-walk-2/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Leeds Film City: Invisible Cinema Walk,09/11/2014,12:00,09/11/2014,13:30,Leeds,"Invisible Cinema is Ben Waddington's exploration of the secret picture houses of the UK's city centres. The number of cinemas rose and fell with the 20th Century; most cities at one time boasted hundreds of screens. With the rise of the multiplex, their structure was absorbed back into the fabric of the city – that [...]

http://www.leedsfilm.com/films/leeds-film-city-invisible-cinema-walk-2/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Leeds International Music Video Award,17/11/2014,18:30,17/11/2014,19:50,Belgrave Music Hall,"In the 1980s and 1990s music videos were a primary vehicle for getting songs heard around the world, and resulted in many iconic pop culture moments. Since the advent of online music their role has shifted dramatically, and with lessened commercial emphasis a new generation of artistically minded musicians has flourished, using them for endlessly [...]

http://www.leedsfilm.com/films/leeds-international-music-video-award/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Leeds Screendance Competition,17/11/2014,20:30,17/11/2014,22:00,Carriageworks Theatre,"In partnership with Yorkshire Dance, LIFF is delighted to present the city's first Screendance Competition, a compelling new programme of international work. Screendance, dance film and video-dance are some of the titles used to describe this elusive genre which spans a vast range of styles: some of the shorts in the selection could sit comfortably [...]

http://www.leedsfilm.com/films/leeds-screendance-competition/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Leeds Short Film Audience Award,09/11/2014,17:00,09/11/2014,18:30,Leeds Town Hall - Albert Room,"Screening as part of Leeds Free Cinema Week…In this free screening, you have the chance to vote for your favourite film from a selection of brilliant short shorts, all under 10 minutes in length, and help to choose the winner of this year's Short Film City audience award. Included in the selection is British short [...]

http://www.leedsfilm.com/films/leeds-short-film-audience-award/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Lessons of Darkness,12/11/2014,16:00,12/11/2014,16:50,Leeds Town Hall - Victoria Hall,"Screening as part of Leeds Free Cinema Week…A documentary shot like a science fiction film made by an alien observer, Lessons of Darkness is a captivatingly unusual film even for one of the world's most unusual filmmakers, Werner Herzog. The film reveals an apocalyptic vision of the oilwell fires in Kuwait after the Gulf-War, as [...]

http://www.leedsfilm.com/films/lessons-darkness/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Letters from a Dead Man,09/11/2014,19:00,09/11/2014,20:27,Hyde Park Picture House,"The first of two masterful dystopias from Russian director Konstantin Lopushansky, Letters from a Dead Man is both harrowing and optimistic. A scholar negotiates his nightmarish surroundings whilst reciting letters to his deceased son in one of the most convincing and engulfing visions of a post-nuclear world you will experience. Shot in a golden tint [...]

http://www.leedsfilm.com/films/letters-dead-man/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Leviathan,06/11/2014,20:00,06/11/2014,22:20,Vue in the Light,"Lauded Russian director Andrey Zvyagintsev (The Return) won the Best Screenplay prize at Cannes for his unanimously acclaimed magnum opus Leviathan, a painterly, primordial tale set in the coastal landscape of the Barents Sea, and featuring music by Philip Glass. In a small seaside town, weather-beaten patriarch Kolya lives with his teenage son Roma and [...]

http://www.leedsfilm.com/films/leviathan-2/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
LMVAs,16/11/2014,19:30,16/11/2014,22:30,"Chapel FM, Seacroft","East Leeds FM, in partnership with Leeds International Film Festival, wants to promote and celebrate the use of music video in the city as a creative tool, for both musicians and filmmakers. The Leeds Music Video Awards will be voted on by a jury made up of experts from the music and film industries, and [...]

http://www.leedsfilm.com/films/lmvas/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Louis le Prince International Short Film Competition (Program 1),12/11/2014,13:00,12/11/2014,14:40,Hyde Park Picture House,"Short Film City presents another year of exceptional short filmmaking at LIFF. The Academy Award qualifying competition is named after Louis Le Prince who captured the very first moving images right here in Leeds in 1888. We've searched high and low to find the very best short films from around the world. More than 30 [...]

http://www.leedsfilm.com/films/louis-le-prince-international-short-film-competition-6-programmes/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Louis le Prince International Short Film Competition (Program 2),12/11/2014,15:00,12/11/2014,16:40,Hyde Park Picture House,"Short Film City presents another year of exceptional short filmmaking at LIFF. The Academy Award qualifying competition is named after Louis Le Prince who captured the very first moving images right here in Leeds in 1888. We've searched high and low to find the very best short films from around the world. More than 30 [...]

http://www.leedsfilm.com/films/louis-le-prince-international-short-film-competition-6-programmes/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Louis le Prince International Short Film Competition (Program 3),13/11/2014,13:00,13/11/2014,14:40,Hyde Park Picture House,"Short Film City presents another year of exceptional short filmmaking at LIFF. The Academy Award qualifying competition is named after Louis Le Prince who captured the very first moving images right here in Leeds in 1888. We've searched high and low to find the very best short films from around the world. More than 30 [...]

http://www.leedsfilm.com/films/louis-le-prince-international-short-film-competition-6-programmes/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
